forma,tipo,sub_tipo
natural,Trastornos Intestinales,colera
natural,Trastornos Intestinales,fiebres tifoidea y partifoidea
natural,Trastornos Intestinales,salmonella
natural,Trastornos Intestinales,shigelosis
natural,Trastornos Intestinales,otras
natural,Trastornos Intestinales,protozoarios
natural,Trastornos Intestinales,amebiasis
natural,Trastornos Intestinales,no clasificadas
natural,Trastornos Intestinales,gastroenteritis y colitis de origen
natural,Trastornos Intestinales,infeccioso no especificadas
natural,Tuberculosis,tuberculosis confirmada 
natural,Tuberculosis,tuberculosis no confirmada 
natural,Tuberculosis,tuberculosis del sistema nervioso
natural,Tuberculosis,tuberculosos de otros organos
natural,Tuberculosis,tuberculosis miliar
natural,Trastornos Pulmonares,peste
natural,Trastornos Pulmonares,tularemia
natural,Trastornos Pulmonares,carbunco
natural,Enfermedad Zoonotica,muermo y melioidosis
natural,Enfermedad Zoonotica,fiebre por mordedura de rata
natural,Enfermedad Zoonotica,brucelosis
natural,Enfermedad Zoonotica,Erisipeloide
natural,Enfermedad Zoonotica,Leptospirosis
natural,Enfermedad Zoonotica,otras
natural,Enfermedad Micobacteriana,Listeriosis
natural,Enfermedad Micobacteriana,lepra
natural,Enfermedad Micobacteriana,otras micobacterianas
natural,Tetanos,neonatal
natural,Tetanos,obstetrico
natural,Tetanos,otros
natural,Sepsis,estreptococica
natural,Sepsis,otras
natural,Enfermedad Bacteriana,Actinomicosis
natural,Enfermedad Bacteriana,Nocardiosis
natural,Enfermedad Bacteriana,Erisipela
natural,Enfermedad Bacteriana,Bartonelosis
natural,Enfermedad Bacteriana,Otras enfermedades bacterianas no clasificadas en otra parte
natural,Enfermedad Bacteriana,Infección bacteriana de sitio no especificado
natural,Sifilis,Sífilis congénita
natural,Sifilis,Sífilis precoz
natural,Sifilis,Sífilis tardía
natural,Sifilis,Otras sífilis y las no especificadas
natural,Sifilis,Sífilis no venérea
natural,Enfermedad de Trasmision Sexual,Infección gonocócica
natural,Enfermedad de Trasmision Sexual,Linfogranuloma (venéreo) por clamidias
natural,Enfermedad de Trasmision Sexual,Otras enfermedades de transmisión sexual debidas a clamidias
natural,Enfermedad de Trasmision Sexual,Chancro blando
natural,Enfermedad de Trasmision Sexual,Granuloma inguinal
natural,Enfermedad de Trasmision Sexual,Tricomoniasis
natural,Enfermedad de Trasmision Sexual,Infección anogenital debida a virus del herpes [herpes simple]
natural,Enfermedad de Trasmision Sexual,Otras enfermedades de transmisión predominantemente sexual no clasificadas en otra parte
natural,Enfermedad de Trasmision Sexual,Enfermedad de transmisión sexual no especificada
natural,Enfermedad causada por Espiroquetas,Frambesia
natural,Enfermedad causada por Espiroquetas,Pinta [carate]
natural,Enfermedad causada por Espiroquetas,Fiebres recurrentes
natural,Enfermedad causada por Espiroquetas,Otras infecciones causadas por espiroquetas
natural,Clamidias,Infeccion debida a Chlamydia psittaci
natural,Clamidias,Tracoma
natural,Clamidias,Otras enfermedades causadas por clamidias
natural,Rickettsiosis,Tifus
natural,Rickettsiosis,Fiebre maculosa [rickettsiosis transmitida por garrapatas]
natural,Rickettsiosis,Fiebre Q
natural,Rickettsiosis,Otras rickettsiosis
natural,Fiebre,Fiebre del dengue [dengue clásico]
natural,Fiebre,Fiebre del dengue hemorrágico
natural,Fiebre,Otras fiebres virales transmitidas por mosquitos
natural,Fiebre,Otras fiebres virales transmitidas por artrópodos no clasificadas en otra parte
natural,Fiebre,Fiebre viral transmitida por artrópodos no especificada
natural,Fiebre,Fiebre amarilla
natural,Fiebre,Fiebre hemorrágica por arenavirus
natural,Fiebre,Otras fiebres virales hemorrágicas no clasificadas en otra parte
natural,Fiebre,Fiebre viral hemorrágica no especificada
natural,Fiebre,Fiebre de otro origen y de origen desconocido
natural,Infecciones en la Piel,Infecciones herpética [herpes simple]
natural,Infecciones en la Piel,Varicela
natural,Infecciones en la Piel,Herpes zoster
natural,Infecciones en la Piel,Viruela
natural,Infecciones en la Piel,Viruela de los monos
natural,Infecciones en la Piel,Sarampión
natural,Infecciones en la Piel,Rubéola [sarampión alemán]
natural,Infecciones en la Piel,Verrugas víricas
natural,Infecciones en la Piel,Otras infeciones víricas caracterizadas por lesiones de la piel y de las membranas mucosas no clasificadas en otra parte
natural,Infecciones en la Piel,Infección viral no especificada caracterizada por lesiones de la piel y de las membranas mucosas
natural,Hepatitis,Hepatitis aguda tipo A
natural,Hepatitis,Hepatitis aguda tipo B
natural,Hepatitis,Otras hepatitis virales agudas
natural,Hepatitis,Hepatitis viral crónica
natural,Hepatitis,Hepatitis viral sin otra especificación
natural,VIH,Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en enfermedades infecciosas y parasitarias
natural,VIH,Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante  en tumores malignos
natural,VIH,Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en otras enfermedades especificadas
natural,VIH,Enfermedad por virus de la inmunodeficiencia humana [VIH] resultante en otras afecciones
natural,VIH,Enfermedad por virus de la inmunodeficiencia humana [VIH] sin otra especificación
natural,Otras enfermedades virales,Enfermedad debida a virus citomegálico
natural,Otras enfermedades virales,Parotiditis infecciosa
natural,Otras enfermedades virales,Mononucleosis infecciosa
natural,Otras enfermedades virales,Conjuntivitis viral
natural,Otras enfermedades virales,Otras enfermedades virales no clasificadas en otra parte
natural,Otras enfermedades virales,Infección viral de sitio no especificado
natural,Otras enfermedades virales,Enfermedad por virus Zika
natural,Micosis (hongos),Dermatofitosis
natural,Micosis (hongos),Otras micosis superficiales
natural,Micosis (hongos),Candidiasis
natural,Micosis (hongos),Coccidioidomicosis
natural,Micosis (hongos),Histoplasmosis
natural,Micosis (hongos),Blastomicosis
natural,Micosis (hongos),Paracoccidioidomicosis
natural,Micosis (hongos),Esporotricosis
natural,Micosis (hongos),Cromomicosis y absceso feomicótico
natural,Micosis (hongos),Aspergilosis
natural,Micosis (hongos),Criptococosis
natural,Micosis (hongos),Cigomicosis
natural,Micosis (hongos),Micetoma
natural,Micosis (hongos),Otras micosis no clasificadas en otra parte
natural,Micosis (hongos),Micosis no especificada
natural,Paludismo (malaria),Paludismo [malaria] debido a Plasmodium falciparum
natural,Paludismo (malaria),Paludismo [malaria] debido a Plasmodium vivax
natural,Paludismo (malaria),Paludismo [malaria] debido a Plasmodium malariae
natural,Paludismo (malaria),Otro paludismo [malaria] confirmado parasitológicamente
natural,Paludismo (malaria),Paludismo [malaria] no especificado
natural,Enfermedad debido a Protozarios,Leishmaniasis
natural,Enfermedad debido a Protozarios,Tripanosomiasis africana
natural,Enfermedad debido a Protozarios,Enfermedad de Chagas
natural,Enfermedad debido a Protozarios,Toxoplasmosis
natural,Enfermedad debido a Protozarios,Neumocistosis
natural,Enfermedad debido a Protozarios,Otras enfermedades debidas a protozoarios no clasificadas en otra parte
natural,Enfermedad debido a Protozarios,Enfermedad debida a protozoarios no especificada
natural,Enfermedad debido a Trematodos,Esquistosomiasis [bilharziasis]
natural,Enfermedad debido a Trematodos,Otras infecciones debidas a trematodos
natural,Enfermedad debido a Cestodos,Equinococosis
natural,Enfermedad debido a Cestodos,Teniasis
natural,Enfermedad debido a Cestodos,Cisticercosis
natural,Enfermedad debido a Cestodos,Difilobotriasis y esparganosis
natural,Enfermedad debido a Cestodos,Otras infecciones debidas a cestodos
natural,Infestacion,Dracontiasis
natural,Infestacion,Oncocercosis
natural,Infestacion,Filariasis
natural,Infestacion,Triquinosis
