Region,Provincia,Departamento
Patagonia,Tierra del Fuego,Antartida Argentina
Patagonia,Tierra del Fuego,Islas del Atlantico Sur
Patagonia,Tierra del Fuego,Rio Grande
Patagonia,Tierra del Fuego,Tolhuin
Patagonia,Tierra del Fuego,Ushuaia
Patagonia,Santa Cruz,Corpen Aike
Patagonia,Santa Cruz,Deseado
Patagonia,Santa Cruz,Güer Aike.
Patagonia,Santa Cruz,Lago Argentino
Patagonia,Santa Cruz,Lago Buenos Aires
Patagonia,Santa Cruz,Magallanes
Patagonia,Santa Cruz,Rio Chico
Patagonia,Chubut,Biedma
Patagonia,Chubut,Cushamen
Patagonia,Chubut,Escalante
Patagonia,Chubut,Florentino Ameghino
Patagonia,Chubut,Futaleufú
Patagonia,Chubut,Gaiman
Patagonia,Chubut,Gastre
Patagonia,Chubut,Languiñeo
Patagonia,Chubut,Mártires
Patagonia,Chubut,Paso de Indios
Patagonia,Chubut,Rawson
Patagonia,Chubut,Río Senguer
Patagonia,Chubut,Sarmiento
Patagonia,Chubut,Tehuelches
Patagonia,Chubut,Telsen
Patagonia,Rio Negro,Adolfo Alsina
Patagonia,Rio Negro,Avellaneda
Patagonia,Rio Negro,Bariloche
Patagonia,Rio Negro,Conesa
Patagonia,Rio Negro,El Cuy
Patagonia,Rio Negro,General Roca
Patagonia,Rio Negro,Ñorquincó
Patagonia,Rio Negro,Nueve de Julio (9 de Julio)
Patagonia,Rio Negro,Pichi Mahuida
Patagonia,Rio Negro,Pilcaniyeu
Patagonia,Rio Negro,San Antonio
Patagonia,Rio Negro,Valcheta
Patagonia,Rio Negro,Veinticinco de Mayo (25 de Mayo)
Patagonia,Neuquen,Aluminé
Patagonia,Neuquen,Añelo
Patagonia,Neuquen,Catán Lil
Patagonia,Neuquen,Chos Malal
Patagonia,Neuquen,Collón Curá
Patagonia,Neuquen,Confluencia
Patagonia,Neuquen,Huiliches
Patagonia,Neuquen,Lácar
Patagonia,Neuquen,Loncopué
Patagonia,Neuquen,Los Lagos
Patagonia,Neuquen,Minas
Patagonia,Neuquen,Ñorquín
Patagonia,Neuquen,Pehuenches
Patagonia,Neuquen,Picunches
Patagonia,Neuquen,Picún Leufú
Patagonia,Neuquen,Zapala
Pampeana,Buenos Aires,Adolfo Alsina
Pampeana,Buenos Aires,Adolfo Gonzales Chaves
Pampeana,Buenos Aires,Alberti
Pampeana,Buenos Aires,Almirante Brown
Pampeana,Buenos Aires,Arrecifes
Pampeana,Buenos Aires,Avellaneda
Pampeana,Buenos Aires,Ayacucho
Pampeana,Buenos Aires,Azul
Pampeana,Buenos Aires,Bahía Blanca
Pampeana,Buenos Aires,Balcarce
Pampeana,Buenos Aires,Baradero
Pampeana,Buenos Aires,Benito Juárez
Pampeana,Buenos Aires,Berazategui
Pampeana,Buenos Aires,Berisso
Pampeana,Buenos Aires,Bolívar
Pampeana,Buenos Aires,Bragado
Pampeana,Buenos Aires,Brandsen
Pampeana,Buenos Aires,Campana
